Age,Date,Census21 population,ONS population,NIMS population,First doses by midpoint,Second doses completed 21 days before midpoint,Third dose completed 21 days before midpoint
60-69 ,wk 40-43,"6,023,600","6,098,416","6,638,635","6,021,110","5,896,287",176927
60-69 ,wk 41-44,"6,023,600","6,098,416","6,638,635","6,023,247","5,900,346",329640
60-69 ,wk 42-45,"6,023,600","6,098,416","6,638,635","6,025,604","5,904,266",525085
60-69 ,wk 43-46,"6,023,600","6,098,416","6,638,635","6,028,302","5,908,256",819572
60-69 ,wk 44-47,"6,023,600","6,098,416","6,638,635","6,031,049","5,912,056",1271391
60-69 ,wk 45-48,"6,023,600","6,098,416","6,638,635","6,034,413","5,916,872",2050609
60-69 ,wk 46-49,"6,023,600","6,098,416","6,638,635","6,038,158","5,922,397",2877670
60-69 ,wk 47-50,"6,023,600","6,098,416","6,638,635","6,044,690","5,933,469",3692546
60-69 ,wk 48-51,"6,023,600","6,098,416","6,638,635","6,048,611","5,944,234",4383288
60-69 ,wk 49-52,"6,023,600","6,098,416","6,638,635","6,051,578","5,953,555",4924124
60-69 ,wk 50-1,"6,023,600","6,098,416","6,638,635","6,054,420","5,962,651",5311476
60-69 ,wk 51-2,"6,023,600","6,098,416","6,638,635","6,056,645","5,965,412","5,385,790"
60-69 ,wk 52-3,"6,023,600","6,098,416","6,638,635","6,058,408","5,968,389","5,446,274"
60-69 ,wk 1-4,"6,023,600","6,098,416","6,638,635","6,059,489","5,970,996","5,482,506"
60-69 ,wk 2-5,"6,023,600","6,098,416","6,638,635","6,060,226","5,973,097","5,501,236"
60-69 ,wk 3-6,"6,023,600","6,098,416","6,638,635","6,060,899","5,975,018","5,516,438"
60-69 ,wk 4-7,"6,023,600","6,098,416","6,638,635","6,061,487","5,976,522","5,525,646"
60-69 ,wk 5-8,"6,023,600","6,098,416","6,638,635","6,061,957","5,978,013","5,533,232"
60-69 ,wk 6-9,"6,023,600","6,098,416","6,638,635","6,062,402","5,979,166","5,539,410"
60-69 ,wk 7-10,"6,023,600","6,098,416","6,638,635","6,062,829","5,980,274","5,544,672"
60-69 ,wk 8-11,"6,023,600","6,098,416","6,638,635","6,063,123","5,981,216","5,548,743"
70-79 ,wk 32-35,"4,835,400","4,933,682","5,126,380","4,836,741","4,783,099",1446
70-79 ,wk 33-36,"4,835,400","4,933,682","5,126,380","4,837,484","4,785,896",1514
70-79 ,wk 34-37,"4,835,400","4,933,682","5,126,380","4,838,170","4,788,293",1611
70-79 ,wk 35-38,"4,835,400","4,933,682","5,126,380","4,838,779","4,790,574",1663
70-79 ,wk 36-39,"4,835,400","4,933,682","5,126,380","4,839,471","4,792,409",1705
70-79 ,wk 37-40,"4,835,400","4,933,682","5,126,380","4,840,226","4,793,999",1920
70-79 ,wk 38-41,"4,835,400","4,933,682","5,126,380","4,841,060","4,795,599",6734
70-79 ,wk 39-42,"4,835,400","4,933,682","5,126,380","4,841,908","4,797,295",57816
70-79 ,wk 40-43,"4,835,400","4,933,682","5,126,380","4,843,092","4,799,206",244731
70-79 ,wk 41-44,"4,835,400","4,933,682","5,126,380","4,844,467","4,801,008",618842
70-79 ,wk 42-45,"4,835,400","4,933,682","5,126,380","4,845,989","4,802,939",1180062
70-79 ,wk 43-46,"4,835,400","4,933,682","5,126,380","4,847,524","4,805,202",1986878
70-79 ,wk 44-47,"4,835,400","4,933,682","5,126,380","4,849,047","4,807,207",2829876
70-79 ,wk 45-48,"4,835,400","4,933,682","5,126,380","4,850,921","4,809,200",3562807
70-79 ,wk 46-49,"4,835,400","4,933,682","5,126,380","4,852,872","4,810,925",3962859
70-79 ,wk 47-50,"4,835,400","4,933,682","5,126,380","4,856,205","4,812,650",4220865
70-79 ,wk 48-51,"4,835,400","4,933,682","5,126,380","4,858,042","4,814,350",4381674
70-79 ,wk 49-52,"4,835,400","4,933,682","5,126,380","4,859,271","4,816,175",4494832
70-79 ,wk 50-1,"4,835,400","4,933,682","5,126,380","4,860,361","4,818,700",4591116
70-79 ,wk 51-2,"4,835,400","4,933,682","5,126,380","4,861,127","4,819,503","4,610,249"
70-79 ,wk 52-3,"4,835,400","4,933,682","5,126,380","4,861,659","4,820,447","4,627,082"
70-79 ,wk 1-4,"4,835,400","4,933,682","5,126,380","4,862,070","4,821,294","4,639,232"
70-79 ,wk 2-5,"4,835,400","4,933,682","5,126,380","4,862,382","4,821,976","4,645,814"
70-79 ,wk 3-6,"4,835,400","4,933,682","5,126,380","4,862,631","4,822,592","4,651,688"
70-79 ,wk 4-7,"4,835,400","4,933,682","5,126,380","4,862,868","4,823,108","4,654,991"
70-79 ,wk 5-8,"4,835,400","4,933,682","5,126,380","4,863,072","4,823,654","4,657,834"
70-79 ,wk 6-9,"4,835,400","4,933,682","5,126,380","4,863,273","4,824,081","4,660,570"
70-79 ,wk 7-10,"4,835,400","4,933,682","5,126,380","4,863,490","4,824,479","4,662,982"
70-79 ,wk 8-11,"4,835,400","4,933,682","5,126,380","4,863,745","4,824,807","4,664,889"
80+ ,wk 32-35,"2,798,300","2,870,348","2,952,315","2,809,977","2,767,584",1010
80+ ,wk 33-36,"2,798,300","2,870,348","2,952,315","2,810,273","2,768,725",1019
80+ ,wk 34-37,"2,798,300","2,870,348","2,952,315","2,810,494","2,769,681",1034
80+ ,wk 35-38,"2,798,300","2,870,348","2,952,315","2,810,717","2,770,671",1053
80+ ,wk 36-39,"2,798,300","2,870,348","2,952,315","2,811,000","2,771,455",1080
80+ ,wk 37-40,"2,798,300","2,870,348","2,952,315","2,811,368","2,772,009",1182
80+ ,wk 38-41,"2,798,300","2,870,348","2,952,315","2,811,908","2,772,665",6381
80+ ,wk 39-42,"2,798,300","2,870,348","2,952,315","2,812,449","2,775,432",171250
80+ ,wk 40-43,"2,798,300","2,870,348","2,952,315","2,813,117","2,780,977",597750
80+ ,wk 41-44,"2,798,300","2,870,348","2,952,315","2,813,845","2,785,086",1096304
80+ ,wk 42-45,"2,798,300","2,870,348","2,952,315","2,814,559","2,788,005",1528896
80+ ,wk 43-46,"2,798,300","2,870,348","2,952,315","2,815,215","2,790,413",1874246
80+ ,wk 44-47,"2,798,300","2,870,348","2,952,315","2,815,859","2,792,147",2112238
80+ ,wk 45-48,"2,798,300","2,870,348","2,952,315","2,816,602","2,793,520",2291481
80+ ,wk 46-49,"2,798,300","2,870,348","2,952,315","2,817,287","2,794,590",2397771
80+ ,wk 47-50,"2,798,300","2,870,348","2,952,315","2,818,450","2,795,684",2480668
80+ ,wk 48-51,"2,798,300","2,870,348","2,952,315","2,819,124","2,796,776",2544972
80+ ,wk 49-52,"2,798,300","2,870,348","2,952,315","2,819,547","2,797,898",2597818
80+ ,wk 50-1,"2,798,300","2,870,348","2,952,315","2,819,973","2,799,509",2653566
80+ ,wk 51-2,"2,798,300","2,870,348","2,952,315","2,820,287","2,799,917","2,664,248"
80+ ,wk 52-3,"2,798,300","2,870,348","2,952,315","2,820,498","2,800,321","2,673,250"
80+ ,wk 1-4,"2,798,300","2,870,348","2,952,315","2,820,645","2,800,796","2,681,009"
